	drug	cell line	time point	count
2576	BRD-K46381939	VCAP	24	6
2577	BRD-K46381939	VCAP	6	2
2578	BRD-K46532981	VCAP	24	5
2579	BRD-K46666779	MCF7	24	4
2580	BRD-K46666779	MCF7	6	4
2581	BRD-K46707636	A375	24	2
2582	BRD-K46707636	HT29	24	2
2583	BRD-K46791751	PC3	24	10
2584	BRD-K46791751	PC3	6	11
2585	BRD-K46791751	VCAP	24	15
2586	BRD-K46791751	VCAP	6	11
2587	BRD-K47071092	A375	24	2
2588	BRD-K47071092	A549	24	2
2589	BRD-K47071092	HT29	24	2
2590	BRD-K47084999	CD34	24	4
2591	BRD-K47084999	CD34	6	4
2592	BRD-K47084999	HL60	24	4
2593	BRD-K47084999	HL60	6	4
2594	BRD-K47084999	PC3	6	3
2595	BRD-K47084999	U937	24	3
2596	BRD-K47084999	U937	6	3
2597	BRD-K47128441	VCAP	24	2
2598	BRD-K47128441	VCAP	6	2
2599	BRD-K47342144	PC3	24	2
2600	BRD-K47396627	VCAP	24	6
2601	BRD-K47396627	VCAP	6	2
2602	BRD-K47407883	VCAP	24	2
2603	BRD-K47407883	VCAP	6	2
2604	BRD-K47512679	A375	24	2
2605	BRD-K47512679	A549	24	2
2606	BRD-K47512679	HT29	24	2
2607	BRD-K47512679	MCF7	24	2
2608	BRD-K47512679	PC3	24	2
2609	BRD-K47533918	HEPG2	24	2
2610	BRD-K47533918	HEPG2	6	2
2611	BRD-K47533918	HUH7	24	2
2612	BRD-K47533918	HUH7	6	2
2613	BRD-K47533918	PHH	24	2
2614	BRD-K47533918	PHH	6	2
2615	BRD-K47551852	A375	24	2
2616	BRD-K47551852	A549	24	2
2617	BRD-K47551852	HT29	24	2
2618	BRD-K47551852	MCF7	24	2
2619	BRD-K47551852	PC3	24	2
2620	BRD-K47551852	VCAP	24	2
2621	BRD-K47551852	VCAP	6	2
2622	BRD-K47586560	PC3	24	2
2623	BRD-K47586560	VCAP	24	2
2624	BRD-K47586560	VCAP	6	2
2625	BRD-K47771675	A375	24	2
2626	BRD-K47771675	A549	24	2
2627	BRD-K47771675	HT29	24	2
2628	BRD-K47771675	MCF7	24	2
2629	BRD-K47771675	PC3	24	2
2630	BRD-K47786739	PC3	24	2
2631	BRD-K47786739	PC3	6	2
2632	BRD-K47786739	VCAP	24	2
2633	BRD-K47786739	VCAP	6	2
2634	BRD-K47977047	HEPG2	24	2
2635	BRD-K47977047	HEPG2	6	2
2636	BRD-K47977047	HUH7	24	2
2637	BRD-K47977047	HUH7	6	2
2638	BRD-K47977047	PHH	24	2
2639	BRD-K47977047	PHH	6	2
2640	BRD-K47977047	VCAP	24	2
2641	BRD-K47977047	VCAP	6	2
2642	BRD-K48116811	MCF7	24	4
2643	BRD-K48116811	MCF7	6	4
2644	BRD-K48222931	A549	24	2
2645	BRD-K48296029	A549	24	2
2646	BRD-K48296029	HT29	24	2
2647	BRD-K48457318	VCAP	24	2
2648	BRD-K48457318	VCAP	6	2
2649	BRD-K48598367	A549	24	2
2650	BRD-K48598367	HT29	24	2
2651	BRD-K48672996	VCAP	24	2
2652	BRD-K48672996	VCAP	6	2
2653	BRD-K48673964	A549	24	2
2654	BRD-K48673964	HT29	24	2
2655	BRD-K48673964	MCF7	24	2
2656	BRD-K48673964	PC3	24	2
2657	BRD-K48724570	A375	24	2
2658	BRD-K48724570	HT29	24	2
2659	BRD-K48774739	PC3	24	2
2660	BRD-K48775846	VCAP	24	2
2661	BRD-K48775846	VCAP	6	2
2662	BRD-K49010888	NOMO1	24	8
2663	BRD-K49010888	NOMO1	6	8
2664	BRD-K49010888	THP1	24	8
2665	BRD-K49010888	THP1	6	8
2666	BRD-K49111930	A375	24	2
2667	BRD-K49111930	MCF7	24	2
2668	BRD-K49111930	PC3	24	2
2669	BRD-K49333142	PC3	24	2
2670	BRD-K49417484	A375	24	2
2671	BRD-K49417484	HT29	24	2
2672	BRD-K49441594	VCAP	24	2
2673	BRD-K49441594	VCAP	6	2
2674	BRD-K49477330	A375	24	2
2675	BRD-K49477330	A549	24	2
2676	BRD-K49477330	HT29	24	2
2677	BRD-K49477330	MCF7	24	2
2678	BRD-K49477330	PC3	24	2
2679	BRD-K49669601	A375	24	2
2680	BRD-K49669601	A549	24	2
2681	BRD-K49669601	HT29	24	2
2682	BRD-K49669601	MCF7	24	2
2683	BRD-K49669601	PC3	24	2
2684	BRD-K49669601	VCAP	24	2
2685	BRD-K49669601	VCAP	6	2
2686	BRD-K49687221	A549	24	2
2687	BRD-K49687221	HT29	24	2
2688	BRD-K49687221	MCF7	24	2
2689	BRD-K49687221	PC3	24	2
2690	BRD-K49751344	PC3	24	2
2691	BRD-K49751344	VCAP	24	2
2692	BRD-K49870009	PC3	24	2
2693	BRD-K50011261	VCAP	24	5
2694	BRD-K50131741	A375	24	2
2695	BRD-K50131741	A549	24	2
2696	BRD-K50160200	VCAP	24	5
2697	BRD-K50204028	VCAP	24	2
2698	BRD-K50204028	VCAP	6	2
2699	BRD-K50277523	A375	24	2
2700	BRD-K50277523	A549	24	2
2701	BRD-K50277523	HT29	24	2
2702	BRD-K50277523	MCF7	24	2
2703	BRD-K50277523	PC3	24	2
2704	BRD-K50280607	MCF7	24	2
2705	BRD-K50280607	PC3	24	2
2706	BRD-K50280607	VCAP	24	2
2707	BRD-K50280607	VCAP	6	2
2708	BRD-K50388960	A375	24	2
2709	BRD-K50388960	A549	24	2
2710	BRD-K50388960	HT29	24	2
2711	BRD-K50388960	MCF7	24	2
2712	BRD-K50388960	PC3	24	2
2713	BRD-K50748030	A375	24	2
2714	BRD-K50748030	HT29	24	2
2715	BRD-K50748030	MCF7	24	2
2716	BRD-K50776152	A375	6	2
2717	BRD-K50776152	A549	24	10
2718	BRD-K50776152	A549	6	10
2719	BRD-K50776152	HA1E	6	2
2720	BRD-K50776152	HCC515	6	2
2721	BRD-K50776152	HEPG2	6	2
2722	BRD-K50776152	HT29	6	2
2723	BRD-K50776152	MCF7	24	10
2724	BRD-K50776152	MCF7	6	10
2725	BRD-K50776152	PC3	24	2
2726	BRD-K50776152	PC3	6	2
2727	BRD-K50776152	VCAP	24	2
2728	BRD-K50776152	VCAP	6	2
2729	BRD-K50777342	VCAP	24	2
2730	BRD-K50777342	VCAP	6	2
2731	BRD-K50868745	A375	24	2
2732	BRD-K50868745	A549	24	2
2733	BRD-K50868745	HT29	24	2
2734	BRD-K50868745	MCF7	24	2
2735	BRD-K50868745	PC3	24	2
2736	BRD-K51031805	VCAP	24	2
2737	BRD-K51031805	VCAP	6	2
2738	BRD-K51041684	VCAP	24	6
2739	BRD-K51041684	VCAP	6	2
2740	BRD-K51164721	A549	24	2
2741	BRD-K51164721	HT29	24	2
2742	BRD-K51164721	MCF7	24	2
2743	BRD-K51164721	PC3	24	2
2744	BRD-K51166678	PC3	24	2
2745	BRD-K51329831	A375	24	2
2746	BRD-K51329831	A549	24	2
2747	BRD-K51329831	HT29	24	2
2748	BRD-K51329831	MCF7	24	2
2749	BRD-K51329831	PC3	24	2
2750	BRD-K51388814	PC3	24	2
2751	BRD-K51388814	VCAP	24	2
2752	BRD-K51490254	MCF7	24	4
2753	BRD-K51490254	MCF7	6	4
2754	BRD-K51490254	PC3	24	4
2755	BRD-K51490254	PC3	6	4
2756	BRD-K51556300	NOMO1	24	8
2757	BRD-K51556300	NOMO1	6	8
2758	BRD-K51556300	THP1	24	8
2759	BRD-K51556300	THP1	6	8
2760	BRD-K51592837	VCAP	24	2
2761	BRD-K51592837	VCAP	6	2
2762	BRD-K51595563	A549	24	2
2763	BRD-K51595563	HT29	24	2
2764	BRD-K51595563	MCF7	24	2
2765	BRD-K51595563	PC3	24	2
2766	BRD-K51633576	A549	24	2
2767	BRD-K51633576	HT29	24	2
2768	BRD-K51633576	MCF7	24	2
2769	BRD-K51633576	PC3	24	2
2770	BRD-K51644197	HEPG2	24	2
2771	BRD-K51644197	HEPG2	6	2
2772	BRD-K51644197	HUH7	24	2
2773	BRD-K51644197	HUH7	6	2
2774	BRD-K51644197	PHH	24	2
2775	BRD-K51644197	PHH	6	2
2776	BRD-K51674646	HEPG2	24	2
2777	BRD-K51674646	HEPG2	6	2
2778	BRD-K51674646	HUH7	24	2
2779	BRD-K51674646	HUH7	6	2
2780	BRD-K51674646	PHH	24	2
2781	BRD-K51674646	PHH	6	2
2782	BRD-K51762600	VCAP	24	2
2783	BRD-K51762600	VCAP	6	2
2784	BRD-K51810646	A375	24	2
2785	BRD-K51810646	A549	24	2
2786	BRD-K51849212	PC3	24	2
2787	BRD-K51849212	VCAP	24	2
2788	BRD-K51849212	VCAP	6	2
2789	BRD-K51877340	VCAP	24	2
2790	BRD-K51877340	VCAP	6	2
2791	BRD-K51911655	PC3	24	2
2792	BRD-K51993206	VCAP	24	2
2793	BRD-K51993206	VCAP	6	2
2794	BRD-K52006320	A549	24	2
2795	BRD-K52006320	HT29	24	2
2796	BRD-K52160314	A375	24	6
2797	BRD-K52160314	A549	24	6
2798	BRD-K52160314	HA1E	24	6
2799	BRD-K52160314	HCC515	24	6
2800	BRD-K52160314	HEPG2	24	6
2801	BRD-K52160314	HT29	24	6
2802	BRD-K52160314	MCF7	24	6
2803	BRD-K52160314	PC3	24	6
2804	BRD-K52225919	A375	24	2
2805	BRD-K52225919	A549	24	2
2806	BRD-K52225919	HT29	24	2
2807	BRD-K52675185	PC3	24	2
2808	BRD-K52675185	VCAP	24	2
2809	BRD-K52675185	VCAP	6	2
2810	BRD-K52785744	HEPG2	24	2
2811	BRD-K52785744	HEPG2	6	2
2812	BRD-K52785744	HUH7	24	2
2813	BRD-K52785744	HUH7	6	2
2814	BRD-K52785744	PHH	24	2
2815	BRD-K52785744	PHH	6	2
2816	BRD-K52856667	PC3	24	2
2817	BRD-K52856667	VCAP	24	2
2818	BRD-K52904470	VCAP	24	9
2819	BRD-K52904470	VCAP	6	2
2820	BRD-K53325797	CD34	24	4
2821	BRD-K53325797	CD34	6	4
2822	BRD-K53325797	HL60	24	4
2823	BRD-K53325797	HL60	6	4
2824	BRD-K53325797	PC3	6	4
2825	BRD-K53325797	U937	24	4
2826	BRD-K53325797	U937	6	4
2827	BRD-K53359044	VCAP	24	2
2828	BRD-K53359044	VCAP	6	2
2829	BRD-K53407305	A375	24	2
2830	BRD-K53407305	A549	24	2
2831	BRD-K53407305	HT29	24	2
2832	BRD-K53407305	MCF7	24	2
2833	BRD-K53407305	PC3	24	2
2834	BRD-K53475565	A375	24	2
2835	BRD-K53475565	A549	24	2
2836	BRD-K53475565	HT29	24	2
2837	BRD-K53475565	MCF7	24	2
2838	BRD-K53475565	PC3	24	2
2839	BRD-K53640012	VCAP	24	5
2840	BRD-K53808186	A375	24	2
2841	BRD-K53808186	A549	24	2
2842	BRD-K53808186	HT29	24	2
2843	BRD-K53808186	MCF7	24	2
2844	BRD-K53923090	VCAP	24	5
2845	BRD-K53949821	VCAP	24	2
2846	BRD-K53949821	VCAP	6	2
2847	BRD-K54051742	A375	24	2
2848	BRD-K54051742	A549	24	2
2849	BRD-K54051742	HT29	24	2
2850	BRD-K54127914	PC3	24	2
2851	BRD-K54127914	VCAP	24	5
2852	BRD-K54247306	A375	24	2
2853	BRD-K54247306	HT29	24	2
2854	BRD-K54294645	A375	24	2
2855	BRD-K54294645	A549	24	2
2856	BRD-K54294645	HT29	24	2
2857	BRD-K54294645	MCF7	24	2
2858	BRD-K54294645	PC3	24	2
2859	BRD-K54335715	A375	24	2
2860	BRD-K54335715	A549	24	2
2861	BRD-K54335715	HT29	24	2
2862	BRD-K54335715	MCF7	24	2
2863	BRD-K54335715	PC3	24	2
2864	BRD-K54343811	A375	24	6
2865	BRD-K54343811	A549	24	6
2866	BRD-K54343811	HA1E	24	13
2867	BRD-K54343811	HA1E	6	8
2868	BRD-K54343811	HCC515	24	6
2869	BRD-K54343811	HEPG2	24	6
2870	BRD-K54343811	HT29	24	6
2871	BRD-K54343811	MCF7	24	13
2872	BRD-K54343811	MCF7	6	8
2873	BRD-K54343811	PC3	24	13
2874	BRD-K54343811	PC3	6	8
2875	BRD-K54636101	A375	24	2
2876	BRD-K54636101	A549	24	2
2877	BRD-K54636101	HT29	24	2
2878	BRD-K54652275	A375	24	2
2879	BRD-K54652275	A549	24	2
2880	BRD-K54756845	VCAP	24	5
2881	BRD-K54805796	VCAP	24	2
2882	BRD-K54805796	VCAP	6	2
2883	BRD-K54925167	A549	24	2
2884	BRD-K54925167	HT29	24	2
2885	BRD-K54925167	MCF7	24	2
2886	BRD-K54925167	PC3	24	2
2887	BRD-K55077180	A549	24	2
2888	BRD-K55077180	HT29	24	2
2889	BRD-K55077180	MCF7	24	2
2890	BRD-K55077180	PC3	24	2
2891	BRD-K55082668	HEPG2	24	2
2892	BRD-K55082668	HEPG2	6	2
2893	BRD-K55082668	HUH7	24	2
2894	BRD-K55082668	HUH7	6	2
2895	BRD-K55082668	PHH	24	2
2896	BRD-K55082668	PHH	6	2
2897	BRD-K55139645	VCAP	24	2
2898	BRD-K55139645	VCAP	6	2
2899	BRD-K55149044	A375	24	2
2900	BRD-K55149044	A549	24	2
2901	BRD-K55149044	HEPG2	24	2
2902	BRD-K55149044	HEPG2	6	2
2903	BRD-K55149044	HT29	24	2
2904	BRD-K55149044	HUH7	24	2
2905	BRD-K55149044	HUH7	6	2
2906	BRD-K55149044	MCF7	24	2
2907	BRD-K55149044	PHH	24	2
2908	BRD-K55149044	PHH	6	2
2909	BRD-K55155550	A549	24	2
2910	BRD-K55155550	HT29	24	2
2911	BRD-K55194575	A375	24	2
2912	BRD-K55194575	A549	24	2
2913	BRD-K55194575	HT29	24	2
2914	BRD-K55260239	A375	24	2
2915	BRD-K55260239	A549	24	2
2916	BRD-K55260239	HT29	24	2
2917	BRD-K55260239	MCF7	24	2
2918	BRD-K55260239	PC3	24	2
2919	BRD-K55300135	VCAP	24	2
2920	BRD-K55300135	VCAP	6	2
2921	BRD-K55341496	VCAP	24	5
2922	BRD-K55426263	PC3	24	2
2923	BRD-K55533488	A375	24	6
2924	BRD-K55533488	A549	24	6
2925	BRD-K55533488	HA1E	24	6
2926	BRD-K55533488	HCC515	24	6
2927	BRD-K55533488	HEPG2	24	6
2928	BRD-K55533488	HT29	24	6
2929	BRD-K55533488	MCF7	24	6
2930	BRD-K55533488	PC3	24	6
2931	BRD-K55749829	VCAP	24	2
2932	BRD-K55749829	VCAP	6	2
2933	BRD-K55816391	PC3	24	2
2934	BRD-K55851396	HEPG2	24	2
2935	BRD-K55851396	HEPG2	6	2
2936	BRD-K55851396	HUH7	24	2
2937	BRD-K55851396	HUH7	6	2
2938	BRD-K55851396	PHH	24	2
2939	BRD-K55851396	PHH	6	2
2940	BRD-K55878534	A375	24	2
2941	BRD-K55878534	A549	24	2
2942	BRD-K55878534	HT29	24	2
2943	BRD-K55878534	MCF7	24	2
2944	BRD-K55878534	PC3	24	2
2945	BRD-K55896440	VCAP	24	6
2946	BRD-K55896440	VCAP	6	2
2947	BRD-K55896799	A375	24	4
2948	BRD-K55896799	A375	6	4
2949	BRD-K55896799	A549	24	4
2950	BRD-K55896799	A549	6	7
2951	BRD-K55896799	HA1E	24	7
2952	BRD-K55896799	HA1E	6	4
2953	BRD-K55896799	HCC515	24	4
2954	BRD-K55896799	HCC515	6	4
2955	BRD-K55896799	HEPG2	24	4
2956	BRD-K55896799	HEPG2	6	4
2957	BRD-K55896799	HT29	24	8
2958	BRD-K55896799	HT29	6	4
2959	BRD-K55896799	JURKAT	24	11
2960	BRD-K55896799	JURKAT	6	8
2961	BRD-K55896799	MCF7	24	4
2962	BRD-K55896799	MCF7	6	7
2963	BRD-K55896799	PC3	24	8
2964	BRD-K55896799	PC3	6	7
2965	BRD-K55896799	U266	24	4
2966	BRD-K55896799	U266	6	4
2967	BRD-K55996983	PC3	24	2
2968	BRD-K55996983	VCAP	24	5
2969	BRD-K56130969	A375	24	2
2970	BRD-K56130969	A549	24	2
2971	BRD-K56208365	A375	24	2
2972	BRD-K56208365	A549	24	2
2973	BRD-K56208365	HT29	24	2
2974	BRD-K56208365	MCF7	24	2
2975	BRD-K56208365	PC3	24	2
2976	BRD-K56411643	A375	24	5
2977	BRD-K56411643	A549	24	6
2978	BRD-K56411643	HA1E	24	2
2979	BRD-K56411643	HCC515	24	6
2980	BRD-K56411643	HEPG2	24	6
2981	BRD-K56411643	HT29	24	6
2982	BRD-K56411643	MCF7	24	6
2983	BRD-K56411643	PC3	24	6
2984	BRD-K56450018	A375	24	2
2985	BRD-K56450018	A549	24	2
2986	BRD-K56450018	HT29	24	2
2987	BRD-K56450018	MCF7	24	2
2988	BRD-K56450018	PC3	24	2
2989	BRD-K56473018	PC3	24	2
2990	BRD-K56583519	VCAP	24	2
2991	BRD-K56583519	VCAP	6	2
2992	BRD-K57064803	A375	24	6
2993	BRD-K57064803	A549	24	6
2994	BRD-K57064803	HA1E	24	6
2995	BRD-K57064803	HCC515	24	6
2996	BRD-K57064803	HEPG2	24	8
2997	BRD-K57064803	HEPG2	6	2
2998	BRD-K57064803	HT29	24	6
2999	BRD-K57064803	HUH7	24	2
3000	BRD-K57064803	HUH7	6	2
3001	BRD-K57064803	MCF7	24	6
3002	BRD-K57064803	PC3	24	6
3003	BRD-K57064803	PHH	24	2
3004	BRD-K57064803	PHH	6	2
3005	BRD-K57073585	A375	24	2
3006	BRD-K57073585	A549	24	2
3007	BRD-K57073585	HT29	24	2
3008	BRD-K57073585	MCF7	24	2
3009	BRD-K57073585	PC3	24	2
3010	BRD-K57166447	A375	24	2
3011	BRD-K57166447	HT29	24	2
3012	BRD-K57420195	A375	24	2
3013	BRD-K57420195	A549	24	2
3014	BRD-K57420195	HT29	24	2
3015	BRD-K57420195	MCF7	24	2
3016	BRD-K57420195	PC3	24	2
3017	BRD-K57461880	VCAP	24	2
3018	BRD-K57461880	VCAP	6	2
3019	BRD-K57638192	A375	24	2
3020	BRD-K57638192	A549	24	2
3021	BRD-K57962577	A375	24	2
3022	BRD-K57962577	A549	24	2
3023	BRD-K57962577	HT29	24	2
3024	BRD-K58415436	PC3	24	2
3025	BRD-K58415436	VCAP	24	2
3026	BRD-K58415436	VCAP	6	2
3027	BRD-K58547375	A375	24	4
3028	BRD-K58547375	A375	6	4
3029	BRD-K58547375	A549	24	4
3030	BRD-K58547375	A549	6	7
3031	BRD-K58547375	HA1E	24	7
3032	BRD-K58547375	HA1E	6	4
3033	BRD-K58547375	HCC515	24	4
3034	BRD-K58547375	HCC515	6	4
3035	BRD-K58547375	HEPG2	24	4
3036	BRD-K58547375	HEPG2	6	4
3037	BRD-K58547375	HT29	24	8
3038	BRD-K58547375	HT29	6	4
3039	BRD-K58547375	JURKAT	24	11
3040	BRD-K58547375	JURKAT	6	8
3041	BRD-K58547375	MCF7	24	4
3042	BRD-K58547375	MCF7	6	8
3043	BRD-K58547375	PC3	24	8
3044	BRD-K58547375	PC3	6	7
3045	BRD-K58547375	U266	24	4
3046	BRD-K58547375	U266	6	4
3047	BRD-K58784778	VCAP	24	2
3048	BRD-K58784778	VCAP	6	2
3049	BRD-K58808184	A549	24	2
3050	BRD-K58808184	HT29	24	2
3051	BRD-K58808184	MCF7	24	2
3052	BRD-K58808184	PC3	24	2
3053	BRD-K58969952	VCAP	24	5
3054	BRD-K59019422	A375	24	6
3055	BRD-K59019422	A549	24	6
3056	BRD-K59019422	HA1E	24	6
3057	BRD-K59019422	HCC515	24	6
3058	BRD-K59019422	HEPG2	24	6
3059	BRD-K59019422	HT29	24	6
3060	BRD-K59019422	MCF7	24	6
3061	BRD-K59019422	PC3	24	6
3062	BRD-K59253994	A375	24	2
3063	BRD-K59253994	A549	24	2
3064	BRD-K59253994	HT29	24	2
3065	BRD-K59253994	MCF7	24	2
3066	BRD-K59253994	PC3	24	2
3067	BRD-K59341874	A375	24	2
3068	BRD-K59341874	A549	24	2
3069	BRD-K59341874	HT29	24	2
3070	BRD-K59341874	MCF7	24	2
3071	BRD-K59341874	PC3	24	2
3072	BRD-K59524902	VCAP	24	6
3073	BRD-K59524902	VCAP	6	2
3074	BRD-K59563627	MCF7	24	5
3075	BRD-K59563627	MCF7	6	5
3076	BRD-K59805090	MCF7	24	2
3077	BRD-K59805090	PC3	24	2
3078	BRD-K60212338	A375	24	2
3079	BRD-K60212338	A549	24	2
3080	BRD-K60212338	HT29	24	2
3081	BRD-K60212338	MCF7	24	2
3082	BRD-K60212338	PC3	24	2
3083	BRD-K60298771	HEPG2	24	2
3084	BRD-K60298771	HEPG2	6	2
3085	BRD-K60298771	HUH7	24	2
3086	BRD-K60298771	HUH7	6	2
3087	BRD-K60298771	PHH	24	2
3088	BRD-K60298771	PHH	6	2
3089	BRD-K60341033	PC3	24	2
3090	BRD-K60341033	VCAP	24	5
3091	BRD-K60391168	A375	24	2
3092	BRD-K60391168	A549	24	2
3093	BRD-K60391168	HT29	24	2
3094	BRD-K60487596	PC3	24	2
3095	BRD-K60487596	VCAP	24	2
3096	BRD-K60487596	VCAP	6	2
3097	BRD-K60636255	A375	24	2
3098	BRD-K60636255	A549	24	2
3099	BRD-K60636255	HT29	24	2
3100	BRD-K60636255	MCF7	24	2
3101	BRD-K60636255	PC3	24	2
3102	BRD-K60637442	A375	24	2
3103	BRD-K60637442	A549	24	2
3104	BRD-K60637442	HT29	24	2
3105	BRD-K60637442	MCF7	24	2
3106	BRD-K60637442	PC3	24	2
3107	BRD-K60774644	MCF7	24	4
3108	BRD-K60774644	MCF7	6	4
3109	BRD-K60796852	A375	24	2
3110	BRD-K60796852	A549	24	2
3111	BRD-K60796852	HT29	24	2
3112	BRD-K60796852	MCF7	24	2
3113	BRD-K60796852	PC3	24	2
3114	BRD-K60836534	A375	24	2
3115	BRD-K60836534	A549	24	2
3116	BRD-K60836534	HT29	24	2
3117	BRD-K60932973	HEPG2	24	2
3118	BRD-K60932973	HEPG2	6	2
3119	BRD-K60932973	HUH7	24	2
3120	BRD-K60932973	HUH7	6	2
3121	BRD-K60932973	PHH	24	2
3122	BRD-K60932973	PHH	6	2
3123	BRD-K61001510	A375	24	2
3124	BRD-K61001510	HT29	24	2
3125	BRD-K61001510	MCF7	24	2
3126	BRD-K61001510	PC3	24	2
3127	BRD-K61053657	MCF7	24	5
3128	BRD-K61053657	MCF7	6	5
3129	BRD-K61053657	NKDBA	24	4
3130	BRD-K61102260	A375	24	2
3131	BRD-K61102260	A549	24	2
3132	BRD-K61102260	HT29	24	2
3133	BRD-K61102260	MCF7	24	2
3134	BRD-K61102260	PC3	24	2
3135	BRD-K61431779	VCAP	24	2
3136	BRD-K61431779	VCAP	6	2
3137	BRD-K61442593	PC3	24	2
3138	BRD-K61442593	VCAP	24	2
3139	BRD-K61442593	VCAP	6	2
3140	BRD-K61753121	A375	24	2
3141	BRD-K61753121	A549	24	2
3142	BRD-K61753121	HT29	24	2
3143	BRD-K61753121	MCF7	24	2
3144	BRD-K61753121	PC3	24	2
3145	BRD-K61776649	PC3	24	2
3146	BRD-K61779668	VCAP	24	5
3147	BRD-K61894884	A375	24	6
3148	BRD-K61894884	A549	24	6
3149	BRD-K61894884	HA1E	24	13
3150	BRD-K61894884	HA1E	6	8
3151	BRD-K61894884	HCC515	24	6
3152	BRD-K61894884	HEPG2	24	6
3153	BRD-K61894884	HT29	24	6
3154	BRD-K61894884	MCF7	24	13
3155	BRD-K61894884	MCF7	6	8
3156	BRD-K61894884	PC3	24	13
3157	BRD-K61894884	PC3	6	8
3158	BRD-K62019457	A375	24	2
3159	BRD-K62019457	A549	24	2
3160	BRD-K62019457	HT29	24	2
3161	BRD-K62019457	MCF7	24	2
3162	BRD-K62019457	PC3	24	3
3163	BRD-K62019457	VCAP	24	3
3164	BRD-K62019457	VCAP	6	3
3165	BRD-K62056344	HEPG2	24	2
3166	BRD-K62056344	HEPG2	6	2
3167	BRD-K62056344	HUH7	24	2
3168	BRD-K62056344	HUH7	6	2
3169	BRD-K62056344	PHH	24	2
3170	BRD-K62056344	PHH	6	2
3171	BRD-K62122103	MCF7	24	4
3172	BRD-K62122103	MCF7	6	4
3173	BRD-K62242359	A549	24	2
3174	BRD-K62242359	HT29	24	2
3175	BRD-K62242359	MCF7	24	2
3176	BRD-K62242359	PC3	24	2
3177	BRD-K62291994	MCF7	24	4
3178	BRD-K62291994	MCF7	6	4
3179	BRD-K62368279	PC3	24	2
3180	BRD-K62473229	A375	24	2
3181	BRD-K62473229	A549	24	2
3182	BRD-K62473229	HT29	24	2
3183	BRD-K62473229	MCF7	24	6
3184	BRD-K62473229	MCF7	6	4
3185	BRD-K62473229	PC3	24	2
3186	BRD-K62818989	MCF7	24	5
3187	BRD-K62818989	MCF7	6	5
3188	BRD-K62919978	A375	24	2
3189	BRD-K62919978	A549	24	2
3190	BRD-K62919978	HT29	24	2
3191	BRD-K62919978	MCF7	24	2
3192	BRD-K62919978	PC3	24	2
3193	BRD-K63000292	A375	24	2
3194	BRD-K63000292	A549	24	2
3195	BRD-K63000292	HT29	24	2
3196	BRD-K63000292	MCF7	24	2
3197	BRD-K63000292	PC3	24	2
3198	BRD-K63158888	A375	24	2
3199	BRD-K63158888	A549	24	2
3200	BRD-K63158888	HT29	24	2
3201	BRD-K63158888	MCF7	24	2
3202	BRD-K63158888	PC3	24	2
3203	BRD-K63164430	A375	24	2
3204	BRD-K63164430	A549	24	2
3205	BRD-K63325940	PC3	24	2
3206	BRD-K63383460	A375	24	2
3207	BRD-K63383460	A549	24	2
3208	BRD-K63383460	HT29	24	2
3209	BRD-K63383460	MCF7	24	2
3210	BRD-K63383460	PC3	24	2
3211	BRD-K63388446	A549	24	2
3212	BRD-K63388446	HT29	24	2
3213	BRD-K63388446	MCF7	24	2
3214	BRD-K63388446	PC3	24	2
3215	BRD-K63423329	A375	24	2
3216	BRD-K63423329	A549	24	2
3217	BRD-K63423329	HT29	24	2
3218	BRD-K63423329	MCF7	24	2
3219	BRD-K63423329	PC3	24	2
3220	BRD-K63455741	HT29	24	2
3221	BRD-K63455741	MCF7	24	2
3222	BRD-K63455741	PC3	24	2
3223	BRD-K63494246	A375	24	2
3224	BRD-K63494246	A549	24	2
3225	BRD-K63513868	CD34	24	4
3226	BRD-K63513868	CD34	6	4
3227	BRD-K63513868	HL60	24	4
3228	BRD-K63513868	HL60	6	4
3229	BRD-K63513868	PC3	6	4
3230	BRD-K63513868	U937	24	4
3231	BRD-K63513868	U937	6	4
3232	BRD-K63671514	A375	24	2
3233	BRD-K63671514	HT29	24	2
3234	BRD-K63697730	VCAP	24	2
3235	BRD-K63697730	VCAP	6	2
3236	BRD-K63809549	VCAP	24	2
3237	BRD-K63809549	VCAP	6	2
3238	BRD-K63827443	A375	24	2
3239	BRD-K63827443	A549	24	2
3240	BRD-K63828515	A375	24	2
3241	BRD-K63828515	A549	24	2
3242	BRD-K63828515	HT29	24	2
3243	BRD-K63828515	MCF7	24	2
3244	BRD-K63828515	PC3	24	2
3245	BRD-K63874400	VCAP	24	5
3246	BRD-K63903580	A549	24	2
3247	BRD-K63923428	A375	24	2
3248	BRD-K63923428	A549	24	2
3249	BRD-K63923428	HT29	24	2
3250	BRD-K63923428	MCF7	24	2
3251	BRD-K63923428	PC3	24	2
3252	BRD-K63944563	VCAP	24	2
3253	BRD-K63944563	VCAP	6	2
3254	BRD-K63947990	MCF7	24	4
3255	BRD-K63947990	MCF7	6	4
3256	BRD-K64024097	A375	24	6
3257	BRD-K64024097	A549	24	6
3258	BRD-K64024097	HA1E	24	13
3259	BRD-K64024097	HA1E	6	8
3260	BRD-K64024097	HCC515	24	6
3261	BRD-K64024097	HEPG2	24	6
3262	BRD-K64024097	HT29	24	6
3263	BRD-K64024097	MCF7	24	13
3264	BRD-K64024097	MCF7	6	8
3265	BRD-K64024097	PC3	24	13
